职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
手机鸿蒙软件架构专家,45-70K·16薪,"['10年以上', '本科']","['手机鸿蒙系统架构专家', '手机软件架构专家', '鸿蒙系统架构设计']",10年以上,本科,上海,上海某大型通信/网络设备上市公司,10000人以上,"['员工旅游', '补充医疗保险', '加班补助', '节日福利', '餐补', '五险一金', '带薪年假', '通讯补贴', '定期体检', '年终奖', '交通补助']"
安卓开发实习生（无人机方向）,100-200元/天,"['4天/周', '6个月', '本科']","['Android开发经验', '巡检', 'Android客户端产品研发', '无人机', '计算机/软件工程相关专业']",,本科,杭州,蜂鸟智能,20-99人,"['节日福利', '员工旅游', '带薪年假', '保底工资', '五险一金']"
android开发工程师（英语）,15-30K,"['3-5年', '本科']",[],3-5年,本科,上海,上海祥承,1000-9999人,"['节日福利', '员工旅游', '免费班车', '股票期权', '定期体检', '五险一金', '零食下午茶', '绩效奖金', '年终奖', '加班补助', '带薪年假']"
Android应用开发,19-35K,"['3-5年', '大专']","['熟悉Android及APP开发', '精通各种UI控件']",3-5年,大专,无锡,车联天下,500-999人,"['生日福利', '补充医疗保险', '定期体检', '带薪年假', '股票期权', '绩效奖金', '加班补助', '包吃', '年终奖', '五险一金', '零食下午茶', '节日福利']"
高级android开发工程师,30-60K·15薪,"['5-10年', '本科']",[],5-10年,本科,北京,荣耀,10000人以上,"['定期体检', '加班补助', '零食下午茶', '通讯补贴', '补充医疗保险', '年终奖', '五险一金', '节日福利', '免费班车', '股票期权', '带薪年假']"
Android开发（企业前端H5）,17-20K,"['3-5年', '本科']","['Android客户端产品研发', 'Android开发经验', 'H5']",3-5年,本科,北京,人瑞网络科技,10000人以上,"['节日福利', '有无线网', '带薪年假', '五险一金', '零食下午茶']"
android系统工程师,30-40K·15薪,"['3-5年', '本科']",['架构设计/优化'],3-5年,本科,深圳,某大型知名智能硬件公司,10000人以上,"['免费班车', '年终奖', '通讯补贴', '五险一金', '节日福利', '生日福利', '补充医疗保险', '定期体检', '带薪年假']"
app开发工程师,15-22K·14薪,"['3-5年', '本科']","['Android客户端产品研发', 'Flutter', '计算机/软件工程相关专业', '大规模应用开发/维护经验']",3-5年,本科,深圳,ratingdog,100-499人,"['五险一金', '年终奖', '股票期权']"
Android资深开发工程师（系统）,28-35K·13薪,"['5-10年', '本科']","['Framework', 'Android系统', 'Android', '性能', '功耗', '稳定性']",5-10年,本科,上海,禾苗通信,1000-9999人,"['股票期权', '团建聚餐', '员工旅游', '五险一金', '餐补', '节日福利', '带薪年假', '生日福利', '年终奖', '定期体检', '零食下午茶', '项目奖金']"
高级 Android 开发工程师,20-40K·14薪,"['5-10年', '本科']","['Android客户端产品研发', '架构设计/优化', 'Android开发经验', '架构经验']",5-10年,本科,北京,车来了,100-499人,"['零食下午茶', '餐补', '节日福利', '通讯补贴', '生日福利', '五险一金', '团建聚餐', '带薪年假', '加班补助', '员工旅游', '股票期权', '年终奖', '定期体检', '意外险', '补充医疗保险', '交通补助']"
APP开发工程师（小家电品类）,15-25K,"['3-5年', '本科']","['Android开发经验', 'Android客户端产品研发', 'IOS开发经验', '计算机/软件工程相关专业']",3-5年,本科,深圳,微智盛,100-499人,"['企业年金', '工龄奖', '五险一金', '定期体检', '零食下午茶', '绩效奖金', '交通补助', '年终奖', '底薪加提成', '节日福利', '免费工装', '团建聚餐', '带薪年假', '生日福利', '员工旅游', '全勤奖']"
Android,100-150元/天,"['4天/周', '6个月', '本科']","['Android开发经验', 'Java', '移动端', 'Android客户端产品研发', '计算机软件', '计算机/软件工程相关专业', 'Kotlin', 'Android']",,本科,广州,坦黎,0-20人,"['股票期权', '年终奖']"
Android-头部国资大模型公司,40-60K·16薪,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin', 'Flutter', '计算机/软件工程相关专业', 'Android开发经验']",3-5年,本科,上海,某中型人工智能公司,100-499人,[]
高级移动端逆向工程师,20-35K,"['5-10年', '本科']",[],5-10年,本科,西安,西安元字符科技,0-20人,"['节日福利', '底薪加提成', '工龄奖', '全勤奖', '员工旅游', '夜班补助', '法定节假日三薪', '住房补贴', '团建聚餐', '绩效奖金', '节假日加班费', '保底工资', '加班补助']"
广告SDK开发工程师,11-20K,"['经验不限', '大专']",['广告SDK'],经验不限,大专,北京,赛诺斯科技,100-499人,"['餐补', '节日福利', '五险一金', '带薪年假', '员工旅游']"
高级Android开发工程师,28-40K·15薪,"['经验不限', '本科']",[],经验不限,本科,深圳,某大型互联网公司,100-499人,[]
android开发工程师,10-15K,"['1-3年', '本科']","['Java', '多线程', '鸿蒙', 'Android SDK']",1-3年,本科,深圳,文鼎创,100-499人,"['定期体检', '五险一金', '节日福利', '员工旅游', '带薪年假']"
Android安卓开发工程师（车载）,11-20K,"['3-5年', '大专']","['Java', 'Android开发经验', 'Android客户端产品研发', '计算机/软件工程相关专业', '大规模应用开发/维护经验', 'Kotlin']",3-5年,大专,沈阳,科大领创,100-499人,"['加班补助', '保底工资', '底薪加提成', '五险一金', '绩效奖金', '团建聚餐', '带薪年假', '意外险', '补充医疗保险', '年终奖', '通讯补贴', '员工旅游']"
android开发,30-40K·15薪,"['5-10年', '本科']",[],5-10年,本科,北京,某人工智能公司,20-99人,"['交通补助', '节日福利', '年终奖', '有无线网', '住房补贴', '工龄奖', '生日福利', '定期体检', '绩效奖金', '夜班补助', '零食下午茶', '带薪年假', '股票期权', '团建聚餐', '补充医疗保险', '五险一金']"
影像算法工程师,13-25K·15薪,"['1-3年', '大专']",['影像算法'],1-3年,大专,西安,华勤技术股份有限公司,10000人以上,"['带薪年假', '补充医疗保险', '餐补', '五险一金', '年终奖', '交通补助', '员工旅游', '股票期权', '定期体检', '节日福利']"
安卓开发实习生,100-120元/天,"['7天/周', '3个月', '本科']",['计算机/软件工程相关专业'],,本科,上海,荆轲,100-499人,"['五险一金', '工龄奖', '带薪年假', '节日福利', '法定节假日三薪', '节假日加班费', '加班补助', '定期体检', '全勤奖']"
TapTap高级Android开发工程师（上海）,25-50K·15薪,"['5-10年', '本科']","['Kotlin', '网络协议', 'Flutter', 'SDK']",5-10年,本科,上海,TapTap,100-499人,"['生日福利', '股票期权', '免费班车', '团建聚餐', '零食下午茶', '餐补', '包吃', '员工旅游', '带薪年假', '年终奖', '补充医疗保险', '保底工资', '定期体检', '节日福利', '五险一金']"
Android开发,20-25K,"['3-5年', '大专']","['app', 'Android开发经验', 'Android客户端产品研发', 'Kotlin']",3-5年,大专,深圳,本手信息,1000-9999人,"['五险一金', '通讯补贴', '零食下午茶', '团建聚餐', '员工旅游', '带薪年假', '定期体检', '生日福利']"
应用开发工程师,17-29K,"['3-5年', '本科']",[],3-5年,本科,杭州,诚迈科技,1000-9999人,"['团建聚餐', '加班补助', '免费班车', '五险一金', '交通补助', '带薪年假', '法定节假日三薪', '通讯补贴', '员工旅游', '餐补', '定期体检', '节日福利']"
android开发工程师,60-85K·13薪,"['5-10年', '本科']","['M3职级', '安卓C端']",5-10年,本科,深圳,某中型全球互联网公司,100-499人,"['生日福利', '节日福利', '提供三餐', '意外险', '年终奖', '零食下午茶', '定期体检', '股票期权', '团建聚餐', '包吃', '带薪年假', '免费工装', '五险一金', '补充医疗保险']"
高级安卓开发工程师,30-50K,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin', 'Android开发经验', '大规模应用开发/维护经验']",3-5年,本科,北京,某大型互联网公司,100-499人,"['工作居住证', '带薪年假', '节日福利', '零食下午茶', '股票期权', '年终奖', '餐补', '交通补助', '补充医疗保险', '季度奖金', '五险一金']"
稳定性专家,35-50K·18薪,"['10年以上', '本科']",['稳定性'],10年以上,本科,上海,传音控股,10000人以上,"['五险一金', '年终奖', '餐补', '交通补助', '带薪年假', '员工旅游', '定期体检', '住房补贴', '零食下午茶', '免费班车', '节日福利', '通讯补贴', '补充医疗保险']"
Android app,15-22K,"['3-5年', '大专']","['C++', 'Android开发经验', '座舱app', '车载', 'systemui', 'launcher', 'Carplay']",3-5年,大专,无锡,南京光庭,100-499人,"['定期体检', '带薪年假', '年终奖', '绩效奖金', '底薪加提成', '五险一金', '团建聚餐', '股票期权']"
Android 开发工程师,40-65K,"['3-5年', '本科']","['Android客户端产品研发', 'Kotlin', 'Java', 'Android开发经验', 'NDK', 'Android SDK', '高性能编程']",3-5年,本科,北京,某人工智能公司,20-99人,"['有无线网', '绩效奖金', '股票期权', '五险一金', '年终奖', '定期体检', '带薪年假']"
Android开发工程师,14-18K,"['5-10年', '本科']","['Java', 'Android SDK', 'Kotlin']",5-10年,本科,北京,分音塔科技,20-99人,"['五险一金', '定期体检', '补充医疗保险', '股票期权', '年终奖', '带薪年假']"
Android BSP开发工程师,15-25K·13薪,"['5-10年', '本科']","['NXP、Renesas', 'NXP']",5-10年,本科,厦门,雅迅智联,1000-9999人,"['股票期权', '团建聚餐', '带薪年假', '全勤奖', '补充医疗保险', '餐补', '生日福利', '绩效奖金', '高温补贴', '意外险', '工龄奖', '有无线网', '定期体检', '五险一金', '节日福利', '节假日加班费']"
安卓系统架构师,25-50K,"['5-10年', '本科']",[],5-10年,本科,深圳,某大型智能硬件公司,100-499人,"['员工旅游', '节假日加班费', '团建聚餐', '加班补助', '法定节假日三薪', '定期体检', '年终奖', '住房补贴', '生日福利', '五险一金', '带薪年假', '补充医疗保险', '意外险', '节日福利', '通讯补贴', '交通补助', '夜班补助']"
安卓ios开发工程师,45-75K·20薪,"['5-10年', '本科']",[],5-10年,本科,北京,京东集团,10000人以上,"['补充医疗保险', '免费班车', '节日福利', '年终奖', '股票期权', '包吃', '零食下午茶', '定期体检', '餐补', '员工旅游', '交通补助', '五险一金', '带薪年假']"
Android开发工程师（线上面试）,12-17K,"['3-5年', '本科']","['Java', 'Android客户端产品研发', 'Flutter']",3-5年,本科,合肥,法本,10000人以上,"['五险一金', '企业文化', '节日福利', '零食下午茶', '带薪年假']"
车载语音开发,25-40K·15薪,"['5-10年', '本科']",[],5-10年,本科,南京,奇瑞汽车,10000人以上,"['五险一金', '包吃', '餐补', '免费班车', '节日福利', '定期体检', '加班补助', '年终奖', '全勤奖', '带薪年假']"
安卓开发工程师,18-25K,"['5-10年', '大专']","['socket通信', 'Android客户端产品研发']",5-10年,大专,深圳,固强科技,100-499人,"['全勤奖', '孝亲基金', '包吃', '定期体检', '员工旅游', '带薪年假', '绩效奖金', '节日福利', '生日福利', '团建聚餐', '零食下午茶', '工龄奖']"
安卓开发（车载 双休）,12-16K,"['3-5年', '本科']","['Android开发经验', 'Android客户端产品研发']",3-5年,本科,成都,慧博云通,10000人以上,"['节日福利', '补充医疗保险', '加班补助', '带薪年假', '五险一金', '年终奖', '股票期权', '定期体检']"
[北京Android]小红书商业终端工程师/专家,30-60K·16薪,"['经验不限', '本科']","['Android客户端产品研发', '架构设计/优化', '研发流程优化', 'Java', 'React Native', '架构设计能力', '计算机/软件工程相关专业', '通信相关专业', '数学相关专业']",经验不限,本科,北京,小红书,1000-9999人,"['生日福利', '住房补贴', '零食下午茶', '团建聚餐', '年终奖', '定期体检', '加班补助', '股票期权', '带薪年假', '餐补', '五险一金', '包吃']"
安卓高级研发工程师（J13144）,20-35K·14薪,"['3-5年', '本科']","['Android客户端产品研发', '计算机/软件工程相关专业']",3-5年,本科,深圳,阅文集团,1000-9999人,"['节日福利', '定期体检', '员工旅游', '补充医疗保险', '带薪年假', '五险一金', '年终奖']"
安卓手机助播软件开发,11-18K,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Flutter', 'React Native', '计算机/软件工程相关专业', 'Android开发经验']",3-5年,本科,深圳,优秘智能,20-99人,"['员工旅游', '有无线网', '保底工资', '底薪加提成', '工龄奖', '全勤奖', '绩效奖金', '餐补', '加班补助', '意外险', '补充医疗保险']"
蚂蚁集团-客户端基础架构工程师-深圳,30-60K·15薪,"['3-5年', '本科']",[],3-5年,本科,深圳,蚂蚁集团,10000人以上,"['包吃', '零食下午茶', '年终奖', '免费班车', '五险一金', '交通补助', '全勤奖', '股票期权', '通讯补贴', '餐补', '住房补贴', '节日福利', '带薪年假', '加班补助', '定期体检', '员工旅游']"
Android开发工程师,40-70K,"['3-5年', '本科']","['Android客户端产品研发', 'C++', 'C', 'Java', 'Android开发经验', '前端开发经验', '架构经验', '地图业务', 'APP项目', '移动端', '软件架构', '多媒体处理']",3-5年,本科,北京,某大型互联网地图服务上市公司,1000-9999人,"['五险一金', '定期体检', '年终奖', '节日福利', '带薪年假', '交通补助', '补充医疗保险', '餐补', '股票期权', '免费班车', '员工旅游']"
[北京Android]小红书商业终端工程师/专家,30-60K·16薪,"['经验不限', '本科']","['Android客户端产品研发', '架构设计/优化', '研发流程优化', 'Java', 'React Native', '架构设计能力', '计算机/软件工程相关专业', '通信相关专业', '数学相关专业']",经验不限,本科,北京,小红书,1000-9999人,"['生日福利', '住房补贴', '零食下午茶', '团建聚餐', '年终奖', '定期体检', '加班补助', '股票期权', '带薪年假', '餐补', '五险一金', '包吃']"
安卓高级研发工程师（J13144）,20-35K·14薪,"['3-5年', '本科']","['Android客户端产品研发', '计算机/软件工程相关专业']",3-5年,本科,深圳,阅文集团,1000-9999人,"['节日福利', '定期体检', '员工旅游', '补充医疗保险', '带薪年假', '五险一金', '年终奖']"
安卓手机助播软件开发,11-18K,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Flutter', 'React Native', '计算机/软件工程相关专业', 'Android开发经验']",3-5年,本科,深圳,优秘智能,20-99人,"['员工旅游', '有无线网', '保底工资', '底薪加提成', '工龄奖', '全勤奖', '绩效奖金', '餐补', '加班补助', '意外险', '补充医疗保险']"
Android+5年+专科+GIS LBS,20-30K,"['5-10年', '本科']","['Android开发经验', '架构经验', '架构设计/优化', 'Android客户端产品研发', '架构设计能力', '地图类APP', '测绘/GIS']",5-10年,本科,上海,文德数慧,500-999人,"['五险一金', '补充医疗保险', '定期体检', '带薪年假', '岗位津贴', '绩效奖金']"
高级 Android 开发工程师,60-85K·13薪,"['5-10年', '本科']",[],5-10年,本科,深圳,某中型全球互联网公司,100-499人,"['生日福利', '意外险', '免费工装', '团建聚餐', '带薪年假', '包吃', '定期体检', '年终奖', '零食下午茶', '股票期权', '五险一金', '节日福利', '提供三餐', '补充医疗保险']"
中高级安卓Android开发工程师兼职远程开发,1-6K,"['经验不限', '学历不限']",['远程开发'],经验不限,学历不限,上海,精诚捷创,20-99人,[]
蚂蚁集团-客户端基础架构工程师-深圳,30-60K·15薪,"['3-5年', '本科']",[],3-5年,本科,深圳,蚂蚁集团,10000人以上,"['包吃', '零食下午茶', '年终奖', '免费班车', '五险一金', '交通补助', '全勤奖', '股票期权', '通讯补贴', '餐补', '住房补贴', '节日福利', '带薪年假', '加班补助', '定期体检', '员工旅游']"
Android开发工程师,20-28K,"['3-5年', '本科']","['Android客户端产品研发', 'Java', '计算机/软件工程相关专业', 'Android开发经验', 'Kotlin', 'camera', '音视频编解码', '相册app']",3-5年,本科,深圳,中科创达,10000人以上,"['全勤奖', '五险一金', '餐补', '带薪年假', '交通补助', '加班补助', '定期体检', '员工旅游', '节日福利', '住房补贴', '股票期权', '年终奖']"
安卓开发工程师,18-25K,"['5-10年', '大专']","['socket通信', 'Android客户端产品研发']",5-10年,大专,深圳,固强科技,100-499人,"['全勤奖', '孝亲基金', '包吃', '定期体检', '员工旅游', '带薪年假', '绩效奖金', '节日福利', '生日福利', '团建聚餐', '零食下午茶', '工龄奖']"
高级安卓软件开发工程师-Framework_XC-CP,25-40K·15薪,"['5-10年', '硕士']","['Java', '通信相关专业', 'Android开发经验', '架构经验', 'Bluetooth/WiFi']",5-10年,硕士,上海,博世中国 / 集团,10000人以上,"['五险一金', '补充公积金', '免费班车', '补充医疗保险', '员工旅游', '带薪年假', '餐补', '通讯补贴', '交通补助', '节日福利', '年终奖']"
android工程师,35-60K·16薪,"['3-5年', '本科']",['Kotlin'],3-5年,本科,上海,上海某中型互联网人工智能平台公司,100-499人,"['年终奖', '绩效奖金', '补充医疗保险', '意外险', '定期体检', '餐补', '带薪年假', '五险一金']"
Android,11-20K,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin']",3-5年,本科,西安,卓易科技,100-499人,"['年终奖', '带薪年假', '员工旅游', '五险一金', '节日福利', '自带健身房', '人才引进落户', '零食下午茶', '股票期权', '定期体检']"
资深android开发工程师,40-70K·14薪,"['5-10年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin', 'HTML5', '计算机/软件工程相关专业']",5-10年,本科,北京,某大型知名培训公司,10000人以上,[]
影像调试开发实习生,100-150元/天,"['7天/周', '3个月', '本科']","['C++', 'Android', '软件工程师', '视觉图像算法', '计算机软件']",,本科,无锡,华勤技术股份有限公司,10000人以上,"['节日福利', '年终奖', '定期体检', '五险一金', '交通补助', '股票期权', '带薪年假', '餐补', '员工旅游', '补充医疗保险']"
Flutter开发工程师（业务开发）,20-40K·14薪,"['5-10年', '本科']",[],5-10年,本科,杭州,北京某小型互联网金融公司,20-99人,"['加班补助', '五险一金', '员工旅游', '节日福利', '不定期团建', '带薪年假', '零食下午茶', '年终奖']"
移动端开发工程师,11-20K,"['3-5年', '本科']","['Java', 'Android开发经验', '音视频编解码', 'Android客户端产品研发', '计算机/软件工程相关专业']",3-5年,本科,杭州,趣看,20-99人,"['股票期权', '五险一金', '零食下午茶', '员工旅游', '年终奖', '餐补', '通讯补贴', '带薪年假', '定期体检', '节日福利']"
高级/资深android开发工程师（语音交互）,20-40K·13薪,"['经验不限', '本科']","['Android客户端产品研发', 'Kotlin', 'Java', 'Android开发经验', 'AudioRecord 语音交互', 'AudioTrack', 'MediaCodec', 'ASR TTS']",经验不限,本科,芜湖,某大型汽车研发制造公司,10000人以上,"['免费班车', '全勤奖', '带薪年假', '节日福利', '五险一金', '定期体检', '年终奖', '餐补', '包吃', '加班补助']"
高级flutter开发工程师,20-30K,"['3-5年', '本科']","['Flutter', 'Android开发经验', '浏览器']",3-5年,本科,深圳,极光矩阵科技有限公司,500-999人,"['春节福利假', '团建聚餐', '公司福利假', '节日福利', '节假日加班费', '绩效奖金', '零食下午茶', '带薪年假', '年终奖', '生日福利', '法定节假日三薪', '五险一金']"
座舱安卓应用开发,20-30K,"['1-3年', '本科']","['C++', 'Android开发经验']",1-3年,本科,上海,中国某大型汽车研发制造公司,1000-9999人,[]
Android前端开发工程师（有flutter经验）,15-20K,"['1-3年', '本科']","['Android客户端产品研发', 'Flutter', '计算机/软件工程相关专业', 'Android开发经验', '前端开发经验']",1-3年,本科,福州,金鱼塘,100-499人,"['保底工资', '免费工装', '通讯补贴', '五险一金', '底薪加提成', '交通补助', '意外险', '加班补助', '零食下午茶', '带薪年假', '绩效奖金', '节日福利', '有无线网', '补充医疗保险', '出差补贴']"
android高级工程师（北京百度）,15-30K,"['1-3年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin', '计算机/软件工程相关专业', 'Android开发经验', 'NDK']",1-3年,本科,北京,华太智芯,100-499人,[]
app开发,20-21K,"['3-5年', '本科']",[],3-5年,本科,无锡,某中型政府/公共事业公司,100-499人,[]
APP开发工程师（Android),8-13K,"['3-5年', '大专']","['Kotlin', 'Java', 'C++', 'Flutter', 'SDK', 'Framework']",3-5年,大专,广州,广东新邦智联科技公司,100-499人,"['五险一金', '餐补', '节日福利', '零食下午茶']"
2025-鸿蒙操作系统专家,20-40K,"['5-10年', '硕士']",[],5-10年,硕士,成都,成都鼎桥,1000-9999人,"['交通补助', '通讯补贴', '五险一金', '补充医疗保险', '带薪年假', '员工旅游', '节日福利', '年终奖', '15天带薪年', '定期体检', '零食下午茶', '加班补助']"
资深安卓开发工程师,35-65K,"['5-10年', '本科']",['Kotlin'],5-10年,本科,成都,某大型计算机服务公司,500-999人,[]
通用安卓系统软件高级工程师/专家,60-70K,"['1-3年', '学历不限']",[],1-3年,学历不限,深圳,某大型智能硬件上市公司,1000-9999人,"['带薪年假', '定期体检', '节日福利', '年终奖', '补充医疗保险', '员工旅游', '五险一金', '企业滴滴打车', '零食下午茶', '包吃']"
高级安卓开发工程师,20-30K·15薪,"['5-10年', '本科']","['Android客户端产品研发', '架构设计/优化', '研发流程优化']",5-10年,本科,南京,焦点科技,1000-9999人,"['股票期权', '节日福利', '团建聚餐', '零食下午茶', '包吃', '商业险', '全勤奖', '五险一金', '员工旅游', '年终奖', '带薪年假', '定期体检', '生日福利']"
Android开发工程师,20-30K·13薪,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Android开发经验', 'SDK开发经验', 'Android UI布局开发']",3-5年,本科,北京,北京某大型银行公司,1000-9999人,[]
移动端开发工程师（仅招残障人士）,8-12K,"['3-5年', '大专']","['Android开发经验', 'Android客户端产品研发', 'Flutter', '计算机/软件工程相关专业']",3-5年,大专,深圳,残友集团,100-499人,[]
移动端开发实习生,200-250元/天,"['5天/周', '3个月', '本科']",['Flutter'],,本科,深圳,图瓴,0-20人,['五险一金']
Android安卓,12-15K,"['3-5年', '本科']","['Android客户端产品研发', 'Kotlin']",3-5年,本科,广州,广州如是纵横科技服务,500-999人,['五险一金']
android技术专家,30-60K·14薪,"['5-10年', '学历不限']","['架构设计/优化', '研发流程优化', '架构经验', 'Android开发经验', '金融']",5-10年,学历不限,北京,上通科技,100-499人,"['生日福利', '零食下午茶', '工龄奖', '节日福利', '有无线网', '员工旅游', '定期体检', '团建聚餐', '年终奖', '加班补助', '绩效奖金', '节假日加班费', '带薪年假', '五险一金']"
客户端负责人（跨端、音视频）,25-50K·13薪,"['5-10年', '本科']","['Android客户端产品研发', '计算机/软件工程相关专业', '团队管理经验', '音视频开发经验', '跨端开发经验']",5-10年,本科,深圳,云天畅想,100-499人,"['通讯补贴', '节日福利', '节假日加班费', '带薪年假', '法定节假日三薪', '团建聚餐', '股票期权', '年终奖', '餐补', '五险一金', '补充医疗保险', '定期体检']"
【hc充足+能给钱+不coding】Android/iOS,35-60K·15薪,"['5-10年', '本科']","['Android客户端产品研发', '计算机/软件工程相关专业', 'Android开发经验']",5-10年,本科,杭州,北京某中型移动互联网公司,100-499人,"['五险一金', '年终奖', '带薪年假', '补充医疗保险']"
android开发工程师-线上面试,16-18K,"['5-10年', '本科']","['Java', 'Flutter', 'Kotlin']",5-10年,本科,北京,独创时代,100-499人,"['绩效奖金', '股票期权', '五险一金', '年终奖']"
android开发实习生,150-200元/天,"['4天/周', '3个月', '大专']","['Android客户端产品研发', 'Java', '计算机/软件工程相关专业', 'Android开发经验']",,大专,潮州,唯游科技,0-20人,[]
Android工程师（实习生）(J10123),6-8K,"['在校/应届', '本科']","['Java', 'Android开发经验', 'Android客户端产品研发', '计算机/软件工程相关专业', 'Kotlin']",在校/应届,本科,厦门,狄耐克,1000-9999人,"['带薪年假', '加班补助', '年终奖', '五险一金', '餐补', '团建聚餐', '节日福利', '生日福利', '节假日加班费', '免费班车', '全勤奖', '员工旅游', '定期体检', '法定节假日三薪']"
Android/iOS 网络库开发专家,30-60K·16薪,"['3-5年', '本科']","['架构设计/优化', 'Android客户端产品研发']",3-5年,本科,上海,得物App,1000-9999人,"['生日福利', '定期体检', '零食下午茶', '五险一金', '加班补助', '带薪年假', '交通补助', '股票期权', '绩效奖金', '年终奖', '餐补', '节日福利']"
资深android开发工程师,40-70K·14薪,"['5-10年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin', 'HTML5', '计算机/软件工程相关专业']",5-10年,本科,北京,某大型知名培训公司,10000人以上,[]
高级flutter开发工程师,20-30K,"['3-5年', '本科']","['Flutter', 'Android开发经验', '浏览器']",3-5年,本科,深圳,极光矩阵科技有限公司,500-999人,"['春节福利假', '团建聚餐', '公司福利假', '节日福利', '节假日加班费', '绩效奖金', '零食下午茶', '带薪年假', '年终奖', '生日福利', '法定节假日三薪', '五险一金']"
android工程师,35-60K·16薪,"['3-5年', '本科']",['Kotlin'],3-5年,本科,上海,上海某中型互联网人工智能平台公司,100-499人,"['年终奖', '绩效奖金', '补充医疗保险', '意外险', '定期体检', '餐补', '带薪年假', '五险一金']"
Flutter开发工程师（业务开发）,20-40K·14薪,"['5-10年', '本科']",[],5-10年,本科,杭州,北京某小型互联网金融公司,20-99人,"['加班补助', '五险一金', '员工旅游', '节日福利', '不定期团建', '带薪年假', '零食下午茶', '年终奖']"
Android,11-20K,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin']",3-5年,本科,西安,卓易科技,100-499人,"['年终奖', '带薪年假', '员工旅游', '五险一金', '节日福利', '自带健身房', '人才引进落户', '零食下午茶', '股票期权', '定期体检']"
移动端开发工程师,11-20K,"['3-5年', '本科']","['Java', 'Android开发经验', '音视频编解码', 'Android客户端产品研发', '计算机/软件工程相关专业']",3-5年,本科,杭州,趣看,20-99人,"['股票期权', '五险一金', '零食下午茶', '员工旅游', '年终奖', '餐补', '通讯补贴', '带薪年假', '定期体检', '节日福利']"
高级/资深android开发工程师（语音交互）,20-40K·13薪,"['经验不限', '本科']","['Android客户端产品研发', 'Kotlin', 'Java', 'Android开发经验', 'AudioRecord 语音交互', 'AudioTrack', 'MediaCodec', 'ASR TTS']",经验不限,本科,芜湖,某大型汽车研发制造公司,10000人以上,"['免费班车', '全勤奖', '带薪年假', '节日福利', '五险一金', '定期体检', '年终奖', '餐补', '包吃', '加班补助']"
Android,13-18K,"['3-5年', '大专']","['Android客户端产品研发', '多线程编程能力', 'Android开发经验']",3-5年,大专,武汉,深圳易宝软件有限公司,1000-9999人,"['加班补助', '补充医疗保险', '通讯补贴', '交通补助', '带薪年假', '员工旅游', '五险一金', '餐补', '零食下午茶', '免费班车', '年终奖', '定期体检', '节日福利']"
android高级软件工程师,45-75K·14薪,"['10年以上', '硕士']",[],10年以上,硕士,北京,某中型汽车软件公司,500-999人,"['年终奖', '生日福利', '企业年金', '绩效奖金', '节日福利']"
系统开发工程师,20-30K,"['3-5年', '本科']",[],3-5年,本科,深圳,深圳市天思智慧科技,20-99人,"['节日福利', '员工旅游', '年终奖', '五险一金']"
Android开发工程师,6-10K,"['1-3年', '大专']","['架构设计/优化', '研发流程优化', 'Android客户端产品研发', 'Java', '架构设计能力', '计算机/软件工程相关专业', 'Android开发经验', '架构经验', '熟悉Java开发语言', 'MVC', 'SDK']",1-3年,大专,深圳,深圳木子时代网络科技,20-99人,"['节日福利', '年终奖', '带薪年假', '五险一金', '零食下午茶', '员工旅游', '定期体检']"
android开发工程师,12-18K·13薪,"['经验不限', '本科']","['Android客户端产品研发', '计算机/软件工程相关专业']",经验不限,本科,上海,上海像素麦田信息科技,0-20人,"['带薪年假', '五险一金', '零食下午茶']"
移动端(前端)开发技术支持,8-12K·14薪,"['3-5年', '本科']","['Java', 'Android开发经验', 'HTML5', 'Android客户端产品研发', 'Flutter', 'React Native', '计算机/软件工程相关专业', '前端开发经验', 'Kotlin']",3-5年,本科,长沙,数字马力,1000-9999人,"['补充医疗保险', '团建聚餐', '餐补', '节日福利', '定期体检', '年终奖', '加班补助', '交通补助', '五险一金']"
android开发工程师,15-25K·16薪,"['3-5年', '本科']","['Android客户端产品研发', '多线程编程能力']",3-5年,本科,珠海,三一海洋重工,1000-9999人,"['年终奖', '住房补贴', '节日福利', '免费班车', '五险一金', '股票期权', '餐补', '带薪年假']"
应用开发工程师,35-55K,"['5-10年', '本科']","['Android客户端产品研发', 'Android开发经验', '运营商']",5-10年,本科,上海,某大型通信/网络设备上市公司,10000人以上,"['加班补助', '带薪年假', '年终奖', '通讯补贴', '五险一金', '餐补', '节日福利', '员工旅游', '定期体检', '交通补助', '补充医疗保险']"
