职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
java高级开发,11-20K,"['1-3年', '硕士']","['Java', 'Spring', 'SpringCloud', 'MySQL']",1-3年,硕士,南京,南京海泰,500-999人,"['加班补助', '定期体检', '年终奖', '五险一金', '带薪年假', '餐补', '节日福利', '员工旅游']"
Java,20-40K,"['5-10年', '本科']","['Java', 'C++', 'Golang', 'Spring', 'MySQL', '不接受居家办公']",5-10年,本科,上海,某知名互联网电商平台,10000人以上,"['节日福利', '保底工资', '餐补', '零食下午茶', '年终奖', '带薪年假', '绩效奖金', '五险一金']"
实习生（JAVA）,40-60元/天,"['5天/周', '12个月', '本科']","['Java', 'SpringCloud', 'Spring', 'Oracle']",,本科,长沙,Trasen,500-999人,"['加班补助', '股票期权', '定期体检', '年终奖', '免费工作餐', '包吃', '节日福利', '零食下午茶', '绩效奖金', '员工旅游', '生日福利', '交通补助', '年终奖', '通讯补贴', '带薪年假', '餐补', '工龄工资', '全勤奖', '五险一金', '节日福利']"
中级java开发工程师（杭州）,12-18K·14薪,"['3-5年', '本科']","['Java', '物联网经验', '不接受居家办公', 'MySQL', 'Oracle']",3-5年,本科,杭州,浙江威星智能仪表...,500-999人,"['年终奖', '高温补贴', '餐补', '员工旅游', '带薪年假', '节日福利', '五险一金', '补充医疗保险', '定期体检']"
分析程序员-AP(java)（香港),25-35K·13薪,"['5-10年', '本科']","['Java', '不接受居家办公', '分布式经验', '粤语与英文熟练', 'Docker', '微服务经验', 'SpringCloud', 'MySQL', 'MyBatis', 'Oracle']",5-10年,本科,香港,南京运享通信息科技,100-499人,[]
java开发工程师,20-35K,"['在校/应届', '本科']","['Java', 'Spring', 'Kafka', 'Dubbo', 'JVM', 'MySQL', 'Redis']",在校/应届,本科,武汉,华为云计算,10000人以上,"['保底工资', '绩效奖金', '交通补助', '加班补助', '节假日加班费', '员工旅游', '夜班补助', '零食下午茶', '法定节假日三薪', '五险一金', '节日福利', '补充医疗保险', '生日福利', '免费班车', '团建聚餐', '定期体检', '住房补贴', '意外险', '带薪年假', '年终奖']"
中/高级java开发工程师,10-15K,"['3-5年', '本科']","['Golang', 'Java', '物联网经验', '不接受居家办公', '分布式经验', 'Elasticsearch', 'Docker', '微服务经验', 'MySQL', 'PHP', 'MongoDB', 'Spring']",3-5年,本科,成都,胖哒哒文化传播,100-499人,"['保底工资', '意外险', '绩效奖金', '带薪年假', '夜班补助', '零食下午茶', '生日福利', '团建聚餐', '餐补', '底薪加提成']"
Java开发,14-18K,"['5-10年', '本科']","['Java', 'Spring', 'MySQL', 'Oracle', '不接受居家办公']",5-10年,本科,北京,北京华路时代,1000-9999人,"['餐补', '加班补助', '带薪年假', '五险一金', '生日礼', '节日福利']"
java开发,10-15K·13薪,"['5-10年', '本科']","['Java', 'SpringCloud', 'MySQL', 'Oracle']",5-10年,本科,武汉,赛意信息,10000人以上,"['节日福利', '通讯补贴', '零食下午茶', '带薪年假', '定期体检', '项目补贴', '补充医疗保险', '五险一金']"
Java开发工程师,12-18K,"['3-5年', '本科']",['金融项目经验'],3-5年,本科,上海,中电金信,10000人以上,"['节日福利', '定期体检', '补充医疗保险', '五险一金']"
后端工程师-大数据平台,25-40K,"['3-5年', '本科']","['Java', 'Spring', 'Hive', 'Spark', '大数据经验', '不接受居家办公']",3-5年,本科,北京,OPPO,10000人以上,"['带薪年假', '五险一金', '年终奖', '股票期权', '定期体检', '零食下午茶']"
Java开发负责人——交易/商品/营销/支付,60-80K·16薪,"['5-10年', '本科']","['Java', '支付', '交易', '商品']",5-10年,本科,北京,某大型知名互联网公司,10000人以上,"['交通补助', '团建聚餐', '加班补助', '绩效奖金', '五险一金', '节日福利', '高温补贴']"
Java,7-12K,"['1-3年', '本科']","['Java', 'Spring', 'SQL Server']",1-3年,本科,成都,冰蓝科技,20-99人,"['五险一金', '定期体检', '股票期权', '全勤奖', '员工旅游', '加班补助', '零食下午茶', '年终奖', '节日福利', '餐补', '带薪年假']"
物联网平台开发工程师,15-30K,"['3-5年', '本科']","['不接受居家办公', 'Java', 'PHP', 'SpringCloud', 'MySQL']",3-5年,本科,深圳,乐事立信信息科技,20-99人,[]
java开发工程师,16-26K,"['5-10年', '本科']","['Java', 'SpringCloud', 'MySQL', 'SQL Server', 'Spring']",5-10年,本科,深圳,斯维尔,100-499人,"['节假日加班费', '带薪年假', '定期体检', '餐补', '五险一金', '通讯补贴', '绩效奖金', '团建聚餐', '员工旅游', '餐补', '节日福利', '生日福利']"
后端开发工程师（AI 应用 & 数据方向）,20-30K·14薪,"['3-5年', '本科']","['Java', '大数据经验', '不接受居家办公', 'Docker', 'MySQL', 'Redis', '架构设计经验', 'Spring', 'AI Agent']",3-5年,本科,深圳,AfterShip,100-499人,"['餐补', '零食下午茶', '带薪年假', '节日福利', '交通补助', '团建聚餐', '学习基金', '年终奖', '五险一金', '加班补助', '定期体检', '补充医疗保险']"
java开发工程师,8-9K,"['3-5年', '本科']","['Java', '不接受居家办公', 'MySQL', 'Spring']",3-5年,本科,西安,信智特,100-499人,['五险一金']
高级JAVA开发工程师+国企双休,30-40K·15薪,"['5-10年', '本科']","['Java', 'SpringCloud', 'Spring', 'MySQL']",5-10年,本科,上海,某大型互联网公司,100-499人,[]
后端专家-平台（金融）Base上海,40-70K,"['3-5年', '本科']","['架构师', 'MySQL']",3-5年,本科,上海,某大型互联网公司,10000人以上,"['五险一金', '股票期权', '餐补', '补充医疗保险', '零食下午茶', '免费班车', '年终奖', '节日福利', '交通补助', '员工旅游']"
程序技术员（AI+机器人）,6-11K,"['1-3年', '大专']","['Java', 'Python', 'PHP']",1-3年,大专,长沙,武汉生元科技有限公司,20-99人,"['生日福利', '节日福利', '五险一金', '年终奖', '保底工资', '加班补助', '带薪年假', '绩效奖金', '定期体检', '员工旅游']"
后端开发工程师,12-24K,"['3-5年', '本科']","['Java', 'C#', 'Oracle', 'PostgreSQL']",3-5年,本科,温州,温州宏丰,500-999人,"['工龄奖', '加班补助', '节日福利', '住房补贴', '宿舍有空调', '节假日加班费', '带薪年假', '绩效奖金', '定期体检', '五险一金']"
JAVA开发工程师,8-13K·13薪,"['经验不限', '本科']","['搜索引擎技术', 'Linux', '多线程', 'Spring', 'SQL']",经验不限,本科,西安,慧度科技,100-499人,"['五险一金', '餐补', '零食下午茶', '年终奖', '股票期权', '节日福利', '定期体检', '交通补助', '带薪年假']"
初级JAVA（珠海农发展+统本双证学信网）,11-13K,"['3-5年', '本科']","['Java', 'SpringCloud', 'MySQL']",3-5年,本科,广州,宇信科技,1000-9999人,"['节日福利', '带薪年假', '团建聚餐', '年终奖', '通讯补贴', '定期体检', '补充医疗保险', '五险一金']"
智能汽车-Java开发（短期3个月）合肥,9-11K,"['3-5年', '本科']","['Java', 'Spring', 'MySQL', '架构设计经验', '不接受居家办公']",3-5年,本科,合肥,万科物业,10000人以上,"['加班补助', '年终奖', '节日福利', '定期体检', '餐补', '员工旅游', '带薪年假', '通讯补贴', '包吃', '五险一金']"
java开发工程师-滴滴金融+大厂,16-18K,"['3-5年', '本科']","['Java', '不接受居家办公', '分布式经验', '银行', '支付', 'SpringCloud', 'Redis', 'Dubbo', 'Spring', '金融', '微服务经验', 'MySQL', 'MyBatis', '架构设计经验', 'Oracle', '信贷']",3-5年,本科,无锡,人瑞网络科技,10000人以上,"['节日福利', '五险一金', '有无线网', '带薪年假', '零食下午茶']"
软件,20-25K,"['5-10年', '本科']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Oracle', 'Hive', '团队管理经验', '大数据经验']",5-10年,本科,西安,凯登,20-99人,"['全勤奖', '员工旅游', '带薪年假', '员工旅游', '带薪年假', '年终奖', '五险一金', '全勤奖', '年终奖']"
Java开发工程师,15-25K,"['1-3年', '大专']","['C', 'GIT', 'NoSQL', '微服务经验', 'SpringCloud', '服务器配置', 'MySQL', '多线程', 'MongoDB', 'MVC开发', 'Spring']",1-3年,大专,上海,幂数,20-99人,"['高温补贴', '绩效奖金', '定期体检']"
资深软件开发工程师,10-15K,"['5-10年', '本科']","['Java', 'Python', 'SpringCloud', 'Oracle', 'MySQL', 'Spark', 'MES开发经验', '不接受居家办公']",5-10年,本科,吉安,江西康仕矩阵人工...,20-99人,"['底薪加提成', '节日福利', '五险一金', '包吃', '零食下午茶', '工龄奖', '餐补', '法定节假日三薪', '宿舍有空调', '意外险', '年终奖', '生日福利', '全勤奖', '保底工资', '补充医疗保险', '团建聚餐', '包住', '加班补助', '绩效奖金']"
高级研发工程师（远程办公）,20-25K,"['5-10年', '本科']","['Golang', 'Java', 'react', 'vuejs', '架构设计经验', '接受居家办公', 'OA办公研发', '区块链经验', 'Python']",5-10年,本科,北京,北京某中型互联网金融公司,500-999人,[]
后台开发工程师,9-14K·14薪,"['1-3年', '本科']","['Java', 'MySQL', '接受无前端经验/技能', 'MyBatis', 'Spring']",1-3年,本科,嘉兴,麒盛科技,1000-9999人,"['员工旅游', '节日福利', '宿舍有空调', '通讯补贴', '有无线网', '餐补', '股票期权', '工龄奖', '团建聚餐', '全勤奖', '免费班车', '定期体检', '年终奖', '生日福利', '五险一金']"
Java开发工程师（NCC开发）,7-12K,"['1-3年', '本科']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL']",1-3年,本科,广州,凯联科技,500-999人,"['生日福利', '通讯补贴', '交通补助', '股票期权', '员工旅游', '五险一金', '零食下午茶', '节日福利', '带薪年假', '定期体检', '年终奖']"
22K+周末双休/高级系统工程师/售后系统开发,18-22K,"['3-5年', '本科']","['Java', '不接受居家办公', 'MQ', 'Redis', 'Spring', '大数据经验', 'java', 'Docker', 'MySQL', '云计算经验', 'SQLserver', 'net全家桶', 'Python']",3-5年,本科,深圳,人瑞集团,10000人以上,"['零食下午茶', '交通补助', '通讯补贴', '股票期权', '员工旅游', '节日福利', '住房补贴', '带薪年假', '加班补助', '定期体检', '五险一金', '年终奖']"
高级java工程师,10-15K,"['3-5年', '本科']","['MES开发经验', '物联网经验', '微服务经验', 'SpringCloud', 'Netty', 'Redis', 'Oracle']",3-5年,本科,杭州,杭州松梧科技,0-20人,[]
java开发,8-10K,"['3-5年', '本科']","['Java', 'Spring', 'MySQL']",3-5年,本科,张家口,益豪时代,20-99人,[]
java开发工程师南昌,7-10K,"['3-5年', '学历不限']","['Java', 'Nginx', 'SpringCloud', 'MySQL', 'MyBatis', 'Dubbo', 'Spring']",3-5年,学历不限,南昌,上海蜂窝软件科技,20-99人,[]
Java开发工程师,15-30K,"['经验不限', '本科']",['Java'],经验不限,本科,东莞,某中型企业服务公司,500-999人,[]
Java技术,8-11K,"['3-5年', '本科']","['Java', 'Python', 'SpringCloud', 'Docker']",3-5年,本科,乌鲁木齐,维恩贝特,1000-9999人,"['定期体检', '带薪年假', '团建聚餐', '五险一金', '零食下午茶']"
游戏服务器java主程,45-65K·14薪,"['5-10年', '本科']","['Java', 'Netty', 'MySQL', 'Spark', '游戏后端经验', '团队管理经验', '不接受居家办公', '游戏服务器', 'java游戏开发', 'java游戏后台', '游戏服务端java', '游戏服务器主程']",5-10年,本科,北京,广州某大型互联网文娱上市公司,1000-9999人,"['交通补助', '五险一金', '节日福利', '生日福利', '零食下午茶', '餐补', '团建聚餐', '带薪年假', '全勤奖', '员工旅游', '绩效奖金', '年终奖', '补充医疗保险', '股票期权', '定期体检']"
java中级开发工程师,10-15K,"['3-5年', '本科']","['Java', '不接受居家办公', '银行', 'MySQL', 'VUE', 'Spring', '金融']",3-5年,本科,长沙,致宇信息技术,100-499人,"['定期体检', '年终奖', '五险一金', '股票期权', '带薪年假']"
Java后台总监,80-110K·16薪,"['10年以上', '本科']","['Java', '团队管理经验', '微服务经验', 'SpringCloud', 'MySQL', 'Kafka', '接受无前端经验/技能', 'MyBatis', 'Redis', '架构设计经验', 'Spring', 'Oracle']",10年以上,本科,深圳,某大型互联网电商平台上市公司,1000-9999人,[]
系统工程师,18-30K·13薪,"['5-10年', '本科']","['Java', 'Golang', '架构设计经验', '团队管理经验']",5-10年,本科,武汉,武汉博易讯,100-499人,"['带薪年假', '生日福利', '团建聚餐', '定期体检', '绩效奖金', '加班补助', '员工旅游', '餐补', '零食下午茶', '节日福利']"
