职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
广发内部坐班 五险一金 长白班,5-10K,"['经验不限', '大专', '银行/互联网金融', '员工关怀，节假日福利', '本地五险一金 长白班']","['银行/互联网金融', '员工关怀，节假日福利', '本地五险一金 长白班', '咖啡机 零食区', '普通话流利']",经验不限,大专,重庆,博岳通信,10000人以上,[]
扩散设备 （科长）,50-60K,"['10年以上', '本科', '要求有机械设备工程师经验', '不需要出差', '半导体设备经验']","['要求有机械设备工程师经验', '不需要出差', '半导体设备经验']",10年以上,本科,重庆,重庆某中型半导体/芯片公司,100-499人,[]
高级外贸业务经理（连接器线束方向）,8-13K,"['3-5年', '学历不限', '有团队管理经验', '有外贸工作经验', '英语可用于工作']","['有团队管理经验', '有外贸工作经验', '英语可用于工作']",3-5年,学历不限,重庆,采芯信息,20-99人,[]
YE课经理25-45K,45-50K,"['3-5年', '本科', '晶圆厂缺陷检测', 'YE fab厂', 'FMEA,SPC、MAS、DOE']","['晶圆厂缺陷检测', 'YE fab厂', 'FMEA,SPC、MAS、DOE']",3-5年,本科,重庆,某知名半导体上市公司,1000-9999人,[]
新厂周结月结280/天,6-7.5K,"['经验不限', '学历不限', '有空调', '做六休一', '有WIFI']","['有空调', '做六休一', '有WIFI', '缴纳社保', '工作餐免费', '不看显微镜', '有餐补', '4-8人间宿舍', '住宿免费', '午餐免费', '长白班', '月结工资', '不穿无尘服', '两班倒', '厂内食堂', '恒温车间', '月休四天']",经验不限,学历不限,重庆,海力士,1000-9999人,[]
光学工程师,10-15K,"['3-5年', '本科', '光学设计', '光路模拟', '杂散光分析']","['光学设计', '光路模拟', '杂散光分析', '模组']",3-5年,本科,重庆,盛泰光电科技,1000-9999人,[]
DIFF IMP-半导体PM工程师,4-7K,"['1-3年', '大专', '不需要出差', '设备厂商（乙方）', '要求有机械设备工程师经验']","['不需要出差', '设备厂商（乙方）', '要求有机械设备工程师经验', '半导体设备经验', '自动化设备经验', '设备维修/保养经验', '机电设备经验']",1-3年,大专,重庆,尼普顿,20-99人,[]
12寸fab光刻课经理、部经理,35-55K·13薪,"['10年以上', '本科', '光刻', 'litho', 'Track']","['光刻', 'litho', 'Track', 'scanner']",10年以上,本科,重庆,重庆某中型半导体公司,500-999人,[]
射频微波工程师,4-8K,"['经验不限', '大专']",[],经验不限,大专,重庆,重庆踔厉电子,0-20人,[]
财务部经理（base成都研发分公司）,15-24K·19薪,"['10年以上', '本科']",[],10年以上,本科,重庆,长川科技,1000-9999人,[]
SIC器件开发岗,20-40K·14薪,"['3-5年', '本科']",[],3-5年,本科,重庆,重庆某中型半导体/芯片公司,100-499人,[]
迅旭科技招聘普工/操作工,5-7.8K,"['1年以内', '初中及以下', '三餐免费', '午餐免费', '厂内食堂']","['三餐免费', '午餐免费', '厂内食堂', '工作餐免费', '有餐补', '4-8人间宿舍', '住宿免费', '夫妻房', '有WIFI', '有空调', '缴纳社保', '不看显微镜', '坐班', '恒温车间', '车间流水线', '不穿无尘服', '两班倒', '做六休一', '月休四天', '月结工资', '读写26个字母']",1年以内,初中及以下,重庆,迅旭科技,20-99人,[]
驻场工程师（重庆）,5-6K·13薪,"['经验不限', '大专']",[],经验不限,大专,重庆,芜湖通潮精密,500-999人,[]
fae 汽车电子方向,12-20K,"['3-5年', '本科']",[],3-5年,本科,重庆,深圳中电港技术股...,1000-9999人,[]
匿名公司招聘生产设备管理,40-45K·15薪,"['10年以上', '本科', '有设备管理经验', '团队管理经验', '五险一金']","['有设备管理经验', '团队管理经验', '五险一金', '半导体设备经验', 'Pump', 'Scrubber', 'Cooler', 'FAB']",10年以上,本科,重庆,某大型半导体公司,100-499人,[]
长白班文员坐岗,7-8K,"['经验不限', '学历不限']",[],经验不限,学历不限,重庆,重庆佩兰电子科技,0-20人,[]
区域销售总监（MCU）,80-100K·15薪,"['10年以上', '本科']",[],10年以上,本科,重庆,某大型芯片公司,100-499人,[]
北京元富招聘机修工,4-5K,"['3-5年', '中专/中技']",[],3-5年,中专/中技,重庆,北京元富,100-499人,[]
重庆依宝新能源招聘保安,4-5K,"['经验不限', '学历不限', '小区', '工厂', '巡逻岗']","['小区', '工厂', '巡逻岗', '坐岗', '站岗', '形象岗', '两班倒', '月休四天', '周末单休', '五险一金', '包吃住', '165cm以上']",经验不限,学历不限,重庆,重庆依宝新能源,100-499人,[]
匿名公司招聘机械结构工程师,15-30K,"['3-5年', '本科', '接受无机械结构工程师经验', 'ANSYS', 'UG']","['接受无机械结构工程师经验', 'ANSYS', 'UG', '半导体', '功率模块', 'sic', '封装芯片设计']",3-5年,本科,重庆,重庆某中型半导体/芯片公司,100-499人,[]
算法工程师（流体力学或热力学）,30-40K,"['3-5年', '硕士', '深度学习', '自然语言处理算法', 'Python']","['深度学习', '自然语言处理算法', 'Python', '热力 流体']",3-5年,硕士,重庆,某大型半导体公司,100-499人,[]
电机控制算法工程师,15-30K,"['1-3年', '本科', '控制工程师', '熟悉永磁同步电机', '熟悉MCU']","['控制工程师', '熟悉永磁同步电机', '熟悉MCU', 'IGBT', '功率器件']",1-3年,本科,重庆,重庆云潼科技有限公司,100-499人,[]
音频算法工程师（语音识别方向）,20-40K,"['3-5年', '硕士', '语音算法', '深度学习算法', '算法设计']","['语音算法', '深度学习算法', '算法设计', '自然语言处理', '信号处理', '声纹识别', 'Python', 'C++']",3-5年,硕士,重庆,紫光展锐,1000-9999人,[]
6000 文员 上六休一,5-7K,"['经验不限', '学历不限']",[],经验不限,学历不限,重庆,重庆亿企发企业管...,20-99人,[]
线上运营专员,4-9K·13薪,"['1-3年', '本科', '电商店铺运营', '平台品类运营', '平台整体运营']","['电商店铺运营', '平台品类运营', '平台整体运营', '不接受居家办公', '淘宝/天猫', '抖音', '阿里巴巴/1688']",1-3年,本科,重庆,台技达,20-99人,[]
数字芯片验证工程师,20-40K,"['1-3年', '硕士', '芯片设计', '验证', 'IP']","['芯片设计', '验证', 'IP']",1-3年,硕士,重庆,紫光展锐,1000-9999人,[]
行政主管,7-12K,"['5-10年', '本科', '文字功底扎实', '装修/搬迁经验', '供应商管理']","['文字功底扎实', '装修/搬迁经验', '供应商管理', '资产管理', '大型活动组织经验', '大中型企业从业', '活动/会议组织', '企业文化建设', '行政费用预算/控制']",5-10年,本科,重庆,玻芯成(重庆)半导体,20-99人,[]
资深车规级模拟芯片设计（薪资open）,40-45K,"['1-3年', '博士']",[],1-3年,博士,重庆,某知名半导体公司,1000-9999人,[]
fae工程师--重庆,15-16K,"['1-3年', '本科', '电路设计', 'DC-DC', '电源芯片']","['电路设计', 'DC-DC', '电源芯片', 'PCB设计', 'ARM开发', '芯片设计']",1-3年,本科,重庆,艾诺半导体,100-499人,[]
功率器件设计师(J10056),11-22K·13薪,"['3-5年', '硕士', 'PCB设计', '电路设计']","['PCB设计', '电路设计']",3-5年,硕士,重庆,重庆平伟实业股份,1000-9999人,[]
迅旭科技招聘普工/操作工,5-7.8K,"['1年以内', '初中及以下', '三餐免费', '午餐免费', '厂内食堂']","['三餐免费', '午餐免费', '厂内食堂', '工作餐免费', '有餐补', '4-8人间宿舍', '住宿免费', '夫妻房', '有WIFI', '有空调', '缴纳社保', '不看显微镜', '坐班', '恒温车间', '车间流水线', '不穿无尘服', '两班倒', '做六休一', '月休四天', '月结工资', '读写26个字母']",1年以内,初中及以下,重庆,迅旭科技,20-99人,[]
sdk拼接处理,40-65K,"['10年以上', '本科']","['大模型算法', '深度学习', 'Python', '图像处理库（OpenCV等）', 'sdk']",10年以上,本科,北京,某大型智能硬件公司,10000人以上,"['五险一金', '补充医疗保险', '带薪年假', '定期体检', '住房补贴', '餐补', '节日福利', '生日福利']"
医学图像处理工程师（实习）,180-200元/天,"['5天/周', '3个月', '硕士']","['提供实习证明', '提供转正机会', 'Python', 'PyQt', 'PySide']",,硕士,武汉,和视光声,20-99人,"['餐补', '年终奖', '股票期权', '零食下午茶', '弹性工作', '五险一金']"
光学图像算法工程师,25-50K·14薪,"['3-5年', '硕士']","['深度学习', '机器学习', '目标检测', '图像生成', 'ISP/3A算法', '传统图像算法', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'MATLAB']",3-5年,硕士,南京,某中型医疗健康公司,100-499人,"['零食下午茶', '绩效奖金', '带薪年假', '保底工资', '工龄奖', '五险一金', '年终奖', '节日福利', '员工旅游']"
视觉算法工程师,25-35K,"['3-5年', '硕士']","['深度学习', '机器学习', '目标检测', '图像生成', '图像搜索', 'C/C++', 'Python', '图像处理库（OpenCV等）']",3-5年,硕士,上海,上海希夕,20-99人,"['股票期权', '团建聚餐', '免费工装', '补充医疗保险', '年终奖', '生日福利', '员工旅游', '节日福利', '宿舍有空调', '零食下午茶', '定期体检', '带薪年假', '五险一金']"
视觉工程师,12-20K,"['3-5年', '本科']","['发表算法相关优秀论文', '传统图像算法', '图像处理库（OpenCV等）']",3-5年,本科,连云港,洛希能源,100-499人,['五险一金']
图像处理,5-10K,"['经验不限', '本科']","['深度学习', '图像生成', 'C/C++', 'Python', '图像处理库（OpenCV等）', '团队管理经验', '参加算法相关竞赛/获奖']",经验不限,本科,武汉,金钻科技,20-99人,"['绩效奖金', '年终奖', '底薪加提成', '五险一金']"
软件工程师,10-14K·14薪,"['3-5年', '本科']","['C/C++', '点云算法', '其他', 'MATLAB', '三维重建']",3-5年,本科,洛阳,洛阳群青机器人科技,20-99人,"['交通补助', '五险一金', '包吃', '法定节假日三薪', '定期体检', '有无线网', '节假日加班费', '绩效奖金', '年终奖', '通讯补贴', '节日福利']"
图像算法工程师,20-35K,"['1-3年', '硕士']","['机器学习', '传统图像算法', 'C/C++', '图像处理库（OpenCV等）']",1-3年,硕士,杭州,托普云农,500-999人,"['生日福利', '餐补', '带薪年假', '高温补贴', '五险一金', '节日福利', '绩效奖金', '交通补助', '年终奖', '工龄奖', '通讯补贴', '全勤奖', '员工旅游', '股票期权', '定期体检']"
基础画质算法工程师-北/上/深/杭,35-65K·16薪,"['经验不限', '学历不限']","['深度学习', '机器学习', '大模型算法', '图像生成', '多模态算法', 'SLAM算法', 'C/C++']",经验不限,学历不限,上海,某大型计算机软件公司,10000人以上,"['节日福利', '节假日加班费', '补充医疗保险', '零食下午茶', '五险一金', '团建聚餐', '带薪年假', '加班补助', '保底工资', '夜班补助', '年终奖', '免费班车', '意外险', '交通补助', '法定节假日三薪', '绩效奖金', '股票期权', '定期体检', '员工旅游', '企业年金']"
算法工程师（建图定位方向）,45-65K·14薪,"['5-10年', '硕士']","['大模型算法', '机器学习', '图像搜索', '三维重建', '图像处理库（OpenCV等）', '并行计算', 'VisionPro', '嵌入式开发', 'C/C++', '发表算法相关优秀论文', '优秀开源项目经历', '参加算法相关竞赛/获奖', '建图定位算法']",5-10年,硕士,上海,某计算机软件公司,20-99人,"['带薪年假', '保底工资', '年终奖', '五险一金']"
ComfyUI工程师（AI漫剧）,15-30K·13薪,"['经验不限', '本科']","['图像生成', 'Python', 'lora', 'ComfyUI']",经验不限,本科,杭州,花笙书城,500-999人,"['节日福利', '股票期权', '零食下午茶', '员工旅游', '全勤奖', '带薪年假', '年终奖', '五险一金']"
高级图像算法工程师,35-65K·13薪,"['经验不限', '硕士']","['C/C++', '工业/缺陷检测', 'MATLAB', '三维重建']",经验不限,硕士,上海,中科飞测,1000-9999人,"['餐补', '宿舍有空调', '定期体检', '包住', '团建聚餐', '零食下午茶', '年终奖', '带薪年假', '免费工装', '意外险', '节日福利', '五险一金']"
图像算法工程师,30-50K,"['5-10年', '本科']","['图像生成', 'C/C++', '超声成像']",5-10年,本科,上海,江苏某中型医疗器械公司,100-499人,[]
图像算法工程师,15-30K,"['1-3年', '硕士']","['C/C++', '图像处理库（OpenCV等）', 'HALCON', '深度学习', '机器学习', '目标检测', '三维重建', '传统图像算法']",1-3年,硕士,广州,OPT,1000-9999人,"['团建聚餐', '五险一金', '股票期权', '绩效奖金', '宿舍有空调', '生日福利', '有无线网', '补充医疗保险', '带薪年假', '年终奖', '节假日加班费', '免费食宿', '全勤奖']"
机器视觉应用工程师,15-22K·15薪,"['3-5年', '本科']","['C++', '机器人', 'Linux', '机器学习算法', 'ROS', '人工智能', '视觉图像算法', 'Python']",3-5年,本科,厦门,林德叉车,1000-9999人,"['员工旅游', '节日福利', '补充医疗保险', '加班补助', '免费班车', '定期体检', '年终奖', '通讯补贴', '五险一金', '股票期权', '带薪年假', '交通补助', '零食下午茶', '餐补']"
视觉开发工程师（康耐视相机）,13-20K,"['3-5年', '大专']","['团队管理经验', '机器学习', 'VisionPro', '能独立完成相机选型', '深度学习', '目标检测', '有引导项目经验', 'OCR', '熟练使用康耐视相机']",3-5年,大专,广州,卓越金码,100-499人,"['生日福利', '年终奖', '团建聚餐', '底薪加提成', '意外险', '五险一金', '有无线网', '员工旅游', '节日福利', '绩效奖金', '带薪年假', '餐补', '工龄奖', '全勤奖']"
图像算法,35-65K·16薪,"['经验不限', '本科']","['机器学习', '深度学习', '大模型算法', '图像生成', 'OCR', '目标检测', 'C/C++', 'Python', '图像处理库（OpenCV等）']",经验不限,本科,上海,某大型互联网公司,1000-9999人,"['节日福利', '团建聚餐', '带薪年假', '定期体检', '补充医疗保险', '五险一金']"
AI算法实习生（图像视频分割方向）(J10540),120-170元/天,"['5天/周', '3个月', '硕士']","['图像搜索', 'C/C++', 'Java', '机器学习', '深度学习', '大模型算法', '图像生成', 'Python']",,硕士,广州,YY,1000-9999人,"['带薪年假', '年终奖', '团建聚餐', '交通补助', '五险一金', '补充医疗保险', '节日福利', '餐补', '定期体检', '股票期权', '零食下午茶']"
央企直招   视觉模型算法,100-150K,"['5-10年', '硕士']","['分布式训练', '大模型算法', '机器学习', '深度学习', '多模态算法', 'SLAM算法', '发表算法相关优秀论文', 'CV']",5-10年,硕士,北京,某知名计算机软件公司,1000-9999人,"['员工旅游', '节日福利', '意外险', '法定节假日三薪', '零食下午茶', '带薪年假', '年终奖', '团建聚餐', '节假日加班费', '企业年金', '生日福利', '通讯补贴', '保底工资', '五险一金', '绩效奖金', '补充医疗保险', '定期体检']"
军工央企-正式合同-前端后端AI,20-30K·13薪,"['3-5年', '硕士']","['深度学习', '机器学习', '目标检测', 'Java']",3-5年,硕士,成都,某小型生活服务(O2O)公司,0-20人,[]
深度图像处理工程师,12-22K·13薪,"['3-5年', '本科']","['视觉图像算法', '深度学习算法', '算法设计', 'C++', 'Python', 'C语言', '机器人', '硬件']",3-5年,本科,合肥,中科新萝,20-99人,"['五险一金', '加班补助']"
视觉软件工程师,10-15K,"['1-3年', '大专']","['C#', '运控', '图像处理库（OpenCV等）', '上位机', '多轴插补', 'HALCON']",1-3年,大专,东莞,伽蓝特,20-99人,"['五险一金', '带薪年假', '年终奖', '定期体检', '员工旅游', '补充医疗保险', '零食下午茶', '节日福利']"
图像开发工程师(J11481),15-18K·15薪,"['3-5年', '本科']","['图像生成', 'C/C++', '图像ISP算法']",3-5年,本科,厦门,星纵物联,500-999人,"['五险一金', '带薪年假', '半年奖', '年终奖', '生日福利', '员工旅游', '月度激励', '零食下午茶']"
机器视觉高级工程师,12-24K,"['3-5年', '本科']","['大模型算法', '深度学习', '机器学习', '点云算法', '工业/缺陷检测', '传统图像算法', 'HALCON', 'C/C++', '嵌入式开发', '团队管理经验', '模型加速/性能优化', '优秀开源项目经历']",3-5年,本科,南阳,南阳先同半导体,0-20人,[]
图像特效开发工程师,35-45K,"['5-10年', '本科']","['深度学习', '图像生成', '人像算法', 'C/C++', '图像处理库（OpenCV等）', '模型加速/性能优化']",5-10年,本科,深圳,某大型互联网上市公司,1000-9999人,"['五险一金', '带薪年假', '补充医疗保险', '免费班车', '免费工装', '生日福利', '全勤奖', '节日福利', '股票期权', '餐补', '绩效奖金', '交通补助', '意外险', '团建聚餐', '定期体检']"
中/高级计算机视觉算法工程师（三维重建）,45-75K,"['3-5年', '本科']","['C/C++', '视觉算法', '3DGS', '大模型算法', 'AIGC', '大模型', '图像生成', '三维重建', 'Python', 'NeRF']",3-5年,本科,深圳,某大型智能硬件公司,10000人以上,"['补充医疗保险', '餐补', '五险一金', '带薪年假', '定期体检', '节日福利', '住房补贴', '生日福利']"
算法工程师（周末双休）,10-15K,"['3-5年', '本科']","['C/C++', '深度学习', '目标检测', '工业/缺陷检测', 'opencv']",3-5年,本科,太原,华智弘兴科技,20-99人,"['加班补助', '节日福利', '保底工资', '全勤奖', '夜班补助', '年终奖', '工龄奖', '餐补', '团建聚餐', '带薪年假', '绩效奖金', '底薪加提成', '节假日加班费']"
影像图像视频算法专家-上海 北京深圳西安,70-100K·18薪,"['10年以上', '本科']","['影像体验', '影像硬件', '图像视频', 'camera模组', '视频']",10年以上,本科,上海,某大型国际通信设备公司,10000人以上,"['定期体检', '带薪年假', '零食下午茶', '年终奖', '团建聚餐', '五险一金']"
图像调试工程师,15-30K·13薪,"['3-5年', '本科']","['3a（ae、af、awb）', 'isp']",3-5年,本科,深圳,OBSBOT寻影,100-499人,"['年终奖', '全额公积金', '五险一金', '一档社保', '节日福利', '带薪年假', '实习生补贴', '股票期权', '各式奖金', '定期体检', '零食下午茶']"
算法专家,40-60K·15薪,"['5-10年', '本科']","['深度学习', '机器学习', '目标检测', '图像生成', 'Python', '图像处理库（OpenCV等）', 'MATLAB', '参加算法相关竞赛/获奖']",5-10年,本科,深圳,某大型农/林/牧/渔公司,10000人以上,[]
图像AIGC算法工程师,40-60K·15薪,"['3-5年', '硕士']","['大模型算法', '目标检测', '图像生成', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', '模型加速/性能优化', 'diffusion', 'finetune', 'prompt']",3-5年,硕士,北京,数美万物,100-499人,"['补充医疗保险', '底薪加提成', '五险一金', '股票期权', '带薪年假', '年终奖', '零食下午茶']"
图像算法工程师,40-70K·14薪,"['3-5年', '本科']","['ISP/3A算法', '传统图像算法', 'SLAM算法', 'C/C++', 'Python', '图像拼接', '防抖', '音频', '鱼眼矫正', '全景拼接']",3-5年,本科,成都,某中型智能硬件公司,100-499人,"['团建聚餐', '节日福利', '底薪加提成', '年终奖', '定期体检', '员工旅游', '保底工资', '节假日加班费', '生日福利', '绩效奖金', '餐补', '股票期权', '加班补助', '零食下午茶', '五险一金', '带薪年假', '全勤奖']"
多媒体算法—base上海、深圳,50-80K·18薪,"['5-10年', '本科']","['大模型算法', '机器学习', '深度学习', '传统图像算法', 'ISP/3A算法', '人像算法', '三维重建', '目标跟踪', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'HDR', 'raw', '影像算法', 'isp算法', 'camera算法']",5-10年,本科,深圳,某大型电子/半导体/集成电路公司,1000-9999人,[]
图像调校工程师,18-30K,"['3-5年', '本科']","['C/C++', 'HAL系统', 'MTK', 'ISP/3A算法', 'camera']",3-5年,本科,深圳,软通动力,10000人以上,"['交通补助', '生日福利', '零食下午茶', '通讯补贴', '团建活动', '定期体检', '五险一金', '免费班车', '带薪年假', '加班补助', '补充医疗保险', '节日福利']"
图像算法工程师,25-35K,"['5-10年', '本科']","['深度学习', '工业/缺陷检测', 'C/C++', '半导体检测', 'AOI检测', '晶圆检测', '封装测试']",5-10年,本科,苏州,苏州某中型仪器仪表公司,100-499人,"['通讯补贴', '年终奖', '绩效奖金', '宿舍有空调', '生日福利', '加班补助', '夜班补助', '包住', '交通补助', '五险一金', '意外险', '法定节假日三薪', '节假日加班费', '有无线网', '带薪年假', '节日福利']"
图像算法,40-60K·16薪,"['经验不限', '硕士']","['大模型算法', '图像生成', '图像搜索', 'Python']",经验不限,硕士,杭州,某大型综合互联网平台上市公司,10000人以上,"['零食下午茶', '免费班车', '年终奖', '股票期权', '补充医疗保险', '交通补助', '员工旅游', '五险一金', '节日福利', '餐补']"
机器视觉工程师,5-8K,"['1年以内', '大专']","['机器学习', '目标检测', 'C/C++', '其他']",1年以内,大专,郑州,郑州辰音网络科技,20-99人,[]
AIGC算法负责人,30-50K,"['5-10年', '硕士']","['大模型算法', '图像生成', '图像处理库（OpenCV等）', 'VisionPro', '发表算法相关优秀论文', '优秀开源项目经历']",5-10年,硕士,广州,某中型互联网公司,500-999人,"['定期体检', '带薪年假', '全勤奖', '五险一金', '年终奖', '零食下午茶', '股票期权', '节日福利', '交通补助']"
医疗机器人算法工程师（运动控制与动力学）,30-50K·14薪,"['5-10年', '硕士']","['C/C++', '发表算法相关优秀论文']",5-10年,硕士,北京,北京某中型医疗器械公司,100-499人,[]
视觉调试工程师,7-9K·15薪,"['3-5年', '本科']","['大模型算法', '多模态算法', 'VisionPro']",3-5年,本科,保定,长城汽车精工汽车,500-999人,[]
图像研究算法,20-35K,"['经验不限', '硕士']","['深度学习', '大模型算法', '机器学习', '多模态算法', '图像生成', '目标跟踪', '人像算法', '目标检测', 'Python', 'C/C++', '图像处理库（OpenCV等）', '人脸识别', '视觉交互', '视觉', '图像分割', '图像识别']",经验不限,硕士,合肥,某大型互联网上市公司,10000人以上,"['免费班车', '零食下午茶', '交通补助', '定期体检', '年终奖', '节日福利', '员工旅游', '带薪年假', '补充医疗保险', '通讯补贴', '餐补', '股票期权', '五险一金']"
生成算法专家,65-95K·16薪,"['3-5年', '本科']","['深度学习', '大模型算法', '图像生成', '多模态算法', '三维重建', 'Python', '发表算法相关优秀论文']",3-5年,本科,北京,某大型互联网上市集团公司,10000人以上,"['通讯补贴', '五险一金', '年终奖', '零食下午茶', '交通补助', '住房补贴', '员工旅游', '带薪年假', '餐补', '加班补助', '免费班车', '补充医疗保险', '定期体检', '节日福利', '娱乐健身']"
高级算法专家（人工智能方向）,25-50K·16薪,"['5-10年', '硕士']","['图像处理库（OpenCV等）', '优秀开源项目经历', 'AI算法', '固废']",5-10年,硕士,成都,某大型环保公司,100-499人,[]
图像处理(J10846),10-15K,"['3-5年', '本科']","['深度学习', '机器学习', '大模型算法', '多模态算法', '图像生成', '人像算法', 'OCR', '工业/缺陷检测', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'Java', '嵌入式开发']",3-5年,本科,嘉兴,振石集团,1000-9999人,"['五险一金', '节日福利', '加班补助', '通讯补贴', '补充医疗保险', '住房补贴', '带薪年假', '全勤奖']"
计算机视觉开发工程师,10-15K,"['1-3年', '本科']","['C/C++', 'Python', 'OpenCV', '图像识别经验', 'OCR识别经验', '人脸识别经验']",1-3年,本科,泉州,福建网鱼传媒有限公司,20-99人,['零食下午茶']
外企-aigc视觉算法leader,70-95K·16薪,"['5-10年', '硕士']","['大模型算法', '机器学习', '多模态算法', '图像生成', 'Python', '图像处理库（OpenCV等）', '团队管理经验', '多模态', '电商氛围图']",5-10年,硕士,深圳,某500强上市公司,1000-9999人,"['定期体检', '带薪年假', '补充医疗保险', '零食下午茶', '五险一金']"
3D视觉算法专家-上海/杭州,50-80K·14薪,"['5-10年', '本科']","['C/C++', '深度学习', '三维重建', '感知算法', '3D']",5-10年,本科,上海,某顶尖手机厂商,10000人以上,"['五险一金', '餐补', '员工旅游', '带薪年假', '全勤奖', '零食下午茶', '住房补贴', '定期体检', '交通补助', '提供住宿', '节日福利', '通讯补贴', '股票期权', '免费班车', '餐补']"
资深视觉算法工程师（AIGC）,40-70K·15薪,"['5-10年', '硕士']","['C/C++', '深度学习', '大模型算法', '多模态算法', '图像生成']",5-10年,硕士,上海,致景科技,1000-9999人,"['带薪年假', '节日福利', '高温补贴', '团建聚餐', '生日福利', '股票期权', '五险一金', '定期体检']"
图像处理工程师,18-35K·13薪,"['1-3年', '硕士']","['Python', 'C/C++', 'MATLAB', '图像处理库（OpenCV等）', '模型加速/性能优化', '深度学习', '三维重建', '目标跟踪', '图像生成', '超声图像处理', '超声三维图像']",1-3年,硕士,深圳,深圳皓影医疗科技,20-99人,"['定期体检', '团建聚餐', '企业年金', '员工旅游', '加班补助', '带薪年假', '法定节假日三薪', '年终奖', '五险一金', '节日福利', '交通补助', '生日福利', '餐补', '零食下午茶', '绩效奖金']"
视觉图像研发工程师,20-30K·15薪,"['3-5年', '本科']","['机器学习', '深度学习', '图像处理库（OpenCV等）', '图像生成', 'OCR', 'Python']",3-5年,本科,北京,理光软件研究所（...,20-99人,"['加班补助', '全勤奖', '年终奖', '定期体检', '补充医疗保险', '零食下午茶', '节日福利', '带薪年假', '有无线网', '五险一金', '意外险', '绩效奖金', '生日福利', '团建聚餐', '员工旅游']"
图像算法训练师-内容生态模型运维（外包）,20-21K,"['3-5年', '本科']",['图像生成'],3-5年,本科,北京,某大型互联网信息流平台公司,1000-9999人,"['餐饮及下午茶', '餐补', '团建聚餐', '节日福利', '意外险', '就近租房补贴', '弹性工作制', '家庭关爱假', '加班补助', '年终奖', '带薪年假', '绩效奖金', '节日礼品', '补充医疗保险', '住房补贴', '零食下午茶', '年度体检', '定期体检', '五险一金', '交通补助']"
高级图像算法工程师,30-50K,"['5-10年', '本科']","['图像处理库（OpenCV等）', '其他', '图像生成', '人像算法']",5-10年,本科,上海,上海某小型互联网人工智能技术公司,20-99人,"['员工旅游', '定期体检', '年终奖', '五险一金', '带薪年假', '节日福利', '零食下午茶']"
图像识别技术工程师,6-11K·13薪,"['经验不限', '本科']",['C/C++'],经验不限,本科,天津,五色光光电,0-20人,"['保底工资', '年终奖', '补充医疗保险', '五险一金']"
图像图片处理,4-7K,"['在校/应届', '大专']",['图像生成'],在校/应届,大专,绍兴,熙彩袜业,0-20人,[]
国.企正编-AI基础应用管理岗,15-25K,"['3-5年', '本科']",['团队管理经验'],3-5年,本科,南昌,某小型通信/网络设备公司,20-99人,[]
图像/ISP算法专家(J10401),30-40K,"['5-10年', '本科']","['深度学习', '机器学习', '大模型算法', '图像生成', '图像搜索', '多模态算法', '目标检测', '三维重建', 'C/C++', 'Python', '图像处理库（OpenCV等）', 'VisionPro']",5-10年,本科,合肥,合肥影炬创新技术,500-999人,"['节日福利', '绩效奖金', '五险一金', '定期体检', '带薪年假', '生日福利', '餐补', '股票期权', '年终奖']"
Camera效果开发工程师,20-40K·15薪,"['3-5年', '本科']","['C/C++', 'AE', 'AF', 'AWB', 'ISP', 'tuning']",3-5年,本科,北京,北京字跳网络技术,1000-9999人,"['免费健身设施', '五险一金', '家庭关爱假', '年度体检', '补充医疗保险', '节日礼品', '就近租房补贴', '弹性工作制', '餐饮及下午茶']"
资深算法工程师/专家,50-80K,"['5-10年', '本科']","['大模型算法', '传统图像算法', '人像算法', '图像处理库（OpenCV等）', '发表算法相关优秀论文']",5-10年,本科,深圳,某大型知名互联网公司,10000人以上,[]
机器视觉高级工程师,30-60K,"['3-5年', '博士']","['C/C++', '机器学习', '深度学习', 'MATLAB', '优秀开源项目经历', 'OCR']",3-5年,博士,无锡,日联科技,500-999人,"['生日福利', '定期体检', '工龄奖', '免费工装', '团建聚餐', '年终奖', '观影活动', '免费班车', '绩效奖金', '员工旅游', '节日福利', '五险一金', '带薪年假']"
大型国企-AI开发工程师,20-35K,"['经验不限', '硕士']","['C/C++', 'Python', '深度学习', '大模型算法', '图像生成']",经验不限,硕士,济南,某大型通信上市公司,500-999人,"['年终奖', '免费工装', '通讯补贴', '带薪年假', '高温补贴', '绩效奖金', '定期体检', '股票期权', '五险一金', '餐补', '企业年金', '补充医疗保险', '团建聚餐', '六险二金', '节日福利', '交通补助', '生日福利', '工作餐']"
算法专家（OCR）,50-80K·15薪,"['5-10年', '本科']","['图像生成', 'OCR', '图像处理库（OpenCV等）', '参加算法相关竞赛/获奖']",5-10年,本科,北京,某大型大数据上市公司,500-999人,"['补充医疗保险', '节日福利', '带薪年假', '通讯补贴', '股票期权', '交通补助', '零食下午茶', '五险一金', '餐补', '年终奖', '定期体检']"
