职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
中级网络机房运维工程师,7-9K,"['3-5年', '本科']","['有网络工程师经验', '系统集成商', '1到3年网络工程师经验', '计算机相关专业', '通信相关专业', '大型网络实施', '大型网络运维', '数据中心运维']",3-5年,本科,北京,前景智能科技,0-20人,"['团建聚餐', '定期体检', '五险一金']"
中级网络运维工程师,8-12K,"['3-5年', '大专']","['宽带行业', '运维升级', '系统运行']",3-5年,大专,北京,汇鑫科服,20-99人,"['节日福利', '带薪年假', '年终奖', '五险一金']"
信息化管理岗 G企正式 京户 网络运维,15-25K,"['经验不限', '硕士']","['有网络工程师经验', '甲方企业', '不需要出差', '3到5年网络工程师经验', '通信相关专业', '大型网络运维', '大型网络实施', '数据中心运维', '数字化项目']",经验不限,硕士,北京,某大型互联网公司,100-499人,[]
网络测试工程师,15-25K·13薪,"['5-10年', '本科']","['Java', '5年以上网络工程师经验', '通信相关专业', '有网络工程师经验', '计算机相关专业', '3到5年网络工程师经验', '甲方企业']",5-10年,本科,北京,某大型汽车智能网联公司,100-499人,[]
网络工程师（北京 国网外包）,15-18K,"['5-10年', '本科']",['接受无网络工程师经验'],5-10年,本科,北京,南京君融科技有限公司,100-499人,"['团建聚餐', '五险一金', '绩效奖金', '年终奖', '包吃', '节日福利']"
网络管理岗,20-30K,"['3-5年', '本科']","['不需要出差', '通信相关专业', '有网络工程师经验', 'Zabbix/Prometheus', '1到3年网络工程师经验', 'CCNA/HCIA等', '甲方企业']",3-5年,本科,北京,某大型证券上市公司,10000人以上,"['定期体检', '补充医疗保险', '交通补助', '年终奖', '餐补', '通讯补贴', '带薪年假', '五险一金', '节日福利']"
网络、诊断开发,20-40K·15薪,"['5-10年', '本科']","['有网络工程师经验', '3到5年网络工程师经验', '网络诊断', '网络通信', '汽车行业', '车载']",5-10年,本科,北京,某大型汽车研发/制造公司,10000人以上,"['带薪年假', '免费班车', '节日福利', '年终奖', '全勤奖', '五险一金', '定期体检', '餐补', '包吃', '加班补助']"
交付工程师,400-600元/天,"['1-3年', '学历不限']","['有网络工程师经验', '1到3年网络工程师经验', '3到5年网络工程师经验', 'CCIE/HCIE等']",1-3年,学历不限,北京,融智通公司,100-499人,"['五险一金', '意外险', '通讯补贴', '带薪年假', '团建聚餐', '餐补', '节日福利', '补充医疗保险']"
网络工程师,10-15K·13薪,"['3-5年', '本科']","['CCIE/HCIE等', '不需要出差', 'PMP证书', '数据中心运维', '有网络工程师经验', '金融网络运维', '系统集成商', '计算机相关专业', '3到5年网络工程师经验', '大型网络运维']",3-5年,本科,北京,天合正道运维服务,100-499人,"['带薪年假', '年终奖', '交通补助', '员工旅游', '五险一金', '通讯补贴', '补充医疗保险', '节日福利']"
网络开发工程师(A06355),25-50K·15薪,"['3-5年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '3到5年网络工程师经验', '5年以上网络工程师经验', '计算机相关专业', '网络', 'Golang']",3-5年,本科,北京,北京百易图信息科...,500-999人,"['带薪年假', '年终奖', '零食下午茶', '股票期权', '补充医疗保险', '节日福利', '生日福利', '五险一金', '团建聚餐', '定期体检', '餐补']"
锐捷网络工程师,6-10K,"['1-3年', '大专']","['有网络工程师经验', '1年以内网络工程师经验', '大型网络实施', '系统集成商', '不需要出差', 'CCNP/HCIP等', '锐捷', '华为网络工程师', '华三网络工程师', '网络工程师']",1-3年,大专,北京,铭基大地,20-99人,"['茶歇', '交通补助', '餐补', '节日福利', '带薪年假', '补充医疗保险', '五险一金', '住房补贴', '年终奖', '通讯补贴', '全勤奖']"
中级网络工程师,15-25K,"['3-5年', '本科']","['有网络工程师经验', '通信相关专业', '大型网络运维', 'CCNA/HCIA等', 'CCNP/HCIP等', 'CCIE/HCIE等', '1到3年网络工程师经验']",3-5年,本科,北京,某小型通信/网络设备公司,20-99人,[]
网络工程师（北京）,8-13K,"['1-3年', '本科']","['有网络工程师经验', '通信设备商', '不需要出差', '1年以内网络工程师经验', '通信相关专业', '计算机相关专业', '熟悉Linux等操作系统', 'CCNA/HCIA等', 'CCNP/HCIP等']",1-3年,本科,北京,睿网云联科技,20-99人,"['股票期权', '五险一金', '年终奖', '带薪年假']"
IT桌面运维工程师 英文,10-15K,"['3-5年', '大专']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验', '5年以上网络工程师经验', '计算机相关专业']",3-5年,大专,北京,博彦科技,10000人以上,"['五险一金', '年终奖', '免费班车', '带薪年假', '定期体检', '节日福利']"
网络安全系统工程师,12-18K,"['3-5年', '本科']","['CCNP/HCIP等', '数据中心运维', '有网络工程师经验', '医院驻场优先', '熟悉Linux等操作系统', '3到5年网络工程师经验', '服务器系统网络安全', 'SQL', 'RHCESCSP-S', '不需要出差', '5年以上网络工程师经验', '系统集成商', '大型网络运维']",3-5年,本科,北京,华成航泰,20-99人,"['五险一金', '带薪年假', '节日福利', '餐补', '绩效奖金']"
IT支持网络中级工程师(J11936),10-15K,"['3-5年', '大专']","['有网络工程师经验', '甲方企业', '不需要出差', '3到5年网络工程师经验', 'CCNP/HCIP等', '计算机相关专业', '大型网络实施']",3-5年,大专,北京,百得利集团,1000-9999人,"['生日福利', '节日福利', '底薪加提成', '绩效奖金', '补充医疗保险', '五险一金', '定期体检', '年终奖', '有无线网', '高温补贴', '包吃', '带薪年假']"
网络工程师（运营商）,12-16K,"['5-10年', '本科']","['有网络工程师经验', 'Zabbix/Prometheus', '运营商', '5年以上网络工程师经验', '通信相关专业', '大型网络实施', '计算机相关专业', '网络架构设计', '数据中心运维', 'CCIE/HCIE等']",5-10年,本科,北京,杭州亚服,100-499人,"['定期体检', '五险一金']"
高级网络工程师,8-12K,"['3-5年', '本科']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验', '熟悉Linux等操作系统', 'OSPF Huawei']",3-5年,本科,北京,北京网联捷通科技,20-99人,[]
核心网工程师、数智化工程师,9-14K,"['1-3年', '大专']","['网络安全工程师', '数智项目实施工程师', '数智安全运维工程师']",1-3年,大专,北京,乐万家,20-99人,"['餐补', '定期体检', '节日福利', '补充医疗保险', '全勤奖', '加班补助', '五险一金', '零食下午茶', '股票期权', '带薪年假', '住房补贴']"
技术服务工程师（2026校招-北京）,9-13K·14薪,"['在校/应届', '本科']","['接受无网络工程师经验', '网络 wireshark  hcie']",在校/应届,本科,北京,科来,500-999人,"['五险一金', '加班补助', '定期体检', '补充医疗保险', '零食下午茶', '节日福利', '团建聚餐', '通讯补贴', '带薪年假', '年终奖', '交通补助', '生日福利']"
综合布线技术员,4-5K,"['1-3年', '学历不限']",['弱电工程师，网络布线'],1-3年,学历不限,北京,北京盛科源科技有...,0-20人,[]
网络工程师,6-8K,"['1-3年', '大专']","['有网络工程师经验', '不需要出差', '1到3年网络工程师经验', '1年以内网络工程师经验', '计算机相关专业', '通信相关专业', 'IDC机房运维']",1-3年,大专,北京,联云易通,100-499人,[]
网络工程师,7-10K,"['1-3年', '本科']","['CCIE/HCIE等', '故障处理', '不需要出差', '负载均衡', 'Linux', '有网络工程师经验', '1到3年网络工程师经验', '金融网络运维', '其他', '甲方企业']",1-3年,本科,北京,宇信智臻,20-99人,"['员工旅游', '带薪年假', '生日福利', '五险一金', '节假日加班费', '法定节假日三薪', '意外险', '年终奖', '定期体检', '加班补助', '节日福利', '补充医疗保险', '团建聚餐']"
